"song","freq_lb","freq_ub"
"Fair Ellender",220,622.253967444162
"Hirado-bushi",155.56349186104,739.988845423269
"NAIV-012",246.941650628062,466.16376151809
"NAIV-015",103.826174394986,415.304697579945
"NAIV-017",116.540940379522,369.994422711634
"NAIV-021",164.813778456435,391.995435981749
"NAIV-029",246.941650628062,523.251130601197
"NAIV-033",110,207.652348789973
"NAIV-039",207.652348789973,493.883301256124
"NAIV-048",174.614115716502,493.883301256124
"NAIV-050",195.997717990875,329.62755691287
"NAIV-054",146.832383958704,311.126983722081
"NAIV-075",184.997211355817,440
"NAIV-094",174.614115716502,369.994422711634
"NAIV-100",207.652348789973,369.994422711634
"NAIV-104",195.997717990875,415.304697579945
"NAIV-112",73.4161919793519,207.652348789973
"NAIV-117",246.941650628062,739.988845423269
"NHS-050",184.997211355817,311.126983722081
"NHS-092",55,233.081880759045
"T5401R27",174.614115716502,554.365261953744
"T5404R84",174.614115716502,329.62755691287
"T5405R09",164.813778456435,466.16376151809
"T5411R38M",61.7354126570155,174.614115716502
"T5421R17",220,554.365261953744
"T5427R45M",97.9988589954373,207.652348789973
"T5431R27",146.832383958704,311.126983722081
"T5442R07",110,207.652348789973
"T5459R03",155.56349186104,391.995435981749
"T5467R34",123.470825314031,293.664767917408
"T5468R28",146.832383958704,493.883301256124
"T5482R03",184.997211355817,466.16376151809
"T5487R13",233.081880759045,587.329535834815
"T5522R80",174.614115716502,440
"T5528R18",195.997717990875,622.253967444162
"T5559R02",103.826174394986,246.941650628062
